is_cluster,pocket_name,pocket_alias,ward_id,ward_councillor,avg_hhsize,area_ha,density_dwellings,structure_count,age_of_is,upgrade_category,temp_sanitation,toilets_full_flush,toilets_chemical,toilets_portable,toilets_container,toilets_other,toilets_total,ratio_toilets_dwellings,pocket_code,centroidx,centroidy
Sweet Lips,Sweet Lips,Florida Road,-1.2532570487152714,Beverley van Reenen,1.5378390101173187,-0.12559416906597526,-0.36751694191870593,-0.3491125429260012,5 - 10 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.11712211443446498,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.23268129415721595,1:2,TYGSWE001,-0.04797671252565038,0.599075448865338
Symphony Way TRA,Symphony Way TRA,Blikkiesdorp,1.3606259705570842,Khayalethu Makeleni,0.2669859392564781,0.3475774410233651,-0.4645360763653209,1.4328806367719233,0 - 5 years,Provincial or National government land.  Some constraints,-0.7162946993614596,4.734772352314723,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,1.1232743380990633,1:4,TYGBLI001,0.2605298544798848,0.07572964719966628
T Section,T Section,Victoria Mxenge7410/ TT Section/ UT Section 1,0.876573559580722,Monde Mabandla,0.13616282902080368,0.007897192630388485,0.056359374037289474,0.6700012036332693,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,1.9671424100141297,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,0.3498066887134392,1:4,KHATSE001,0.5003558162787638,-0.35929783227283946
Thabo Mbeki,Thabo Mbeki East,Crossroads 13/14/16,-0.9305554413976967,Mzuzile Mpondwana,0.11747381327284971,0.03249409958535999,-0.3267576299948447,0.40328457739090023,15 - 20 years,Provincial or National government land.  Some constraints,1.5671219541356771,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,0.18224889130865213,-0.10128451368804998,-0.21994931638955134,1:27,MITTHA001,0.20707285309000079,-0.12965406152870537
Thabo Mbeki,Thabo Mbeki West,Crossroads 13/14/16,-0.9305554413976967,Mzuzile Mpondwana,0.11747381327284971,0.009233320909423989,-0.1668052620749614,0.45453144007502355,> 20 years,Many constraints.  May need to be relocated,1.5671219541356771,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,0.8673001543257578,-0.10128451368804998,-0.06079959429374393,1:10,MITTHA002,0.18385567897195823,-0.11789710711865786
Thambo Square,Thambo Square,Crossroads 13/14/16,-0.7369344770071519,Maneli Msindwana,1.500460978621411,-0.06303907236567742,-0.6033339983123134,-0.18954844775043542,15 - 20 years,City land. Can be upgraded,1.5671219541356771,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,1.5386503920825214,-0.10128451368804998,0.09516713336014733,1:1,HILTHA001,-0.2918277386154105,-0.010541795280547633
TR Section,TR Section,Bongani TR Section/ Nonqubela TR Section,0.8443033988489645,Luvuyo Hebe,-0.5179527221575703,0.42094303016313184,-0.010960525418422734,3.4711081298904642,15 - 20 years,City land. Can be upgraded,1.5228228656282763,-0.10573269080359833,0.5400937154049612,3.9830829326351513,2.853948817075364,-0.10128451368804998,3.309991519695457,1:3,KHABON001,0.45737152314919605,-0.38324531659852884
Tsepe Tsepe,Tsepe Tsepe,Crossroads 13/14/16,0.9088437203124795,Nomvuyo Mofoko,0.6781442857114562,-0.08842550966735169,0.32637585584346707,0.044556538602037024,10 - 15 years,City land. Can be upgraded,-0.7162946993614596,-0.07156441991099842,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.21994931638955134,1:15,KHATSE002,0.5787738721000459,-0.45188132746377896
Tsunami TRA,Tsunami TRA,Crossroads 13/14/16,1.3606259705570842,Khayalethu Makeleni,0.2669859392564781,0.16811111990746203,0.13558837609097082,2.025713661913259,15 - 20 years,City land. Can be upgraded,0.3216219613294363,3.0605270785773273,4.874410555089188,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,1.4511227656164265,1:4,TYGTSU001,0.27636617300131505,0.018185102758952777
Uitkyk,Pine Town,Crossroads 13/14/16,1.1670050061665393,Johannes (Johan) Middleton,0.042717750281035506,-0.09137106519158902,-0.8891748161087868,-0.35726545289847533,15 - 20 years,Provincial or National government land.  Some constraints,1.344349597696375,-0.31074231615919784,-0.23681213321768332,0.001459794482342003,-0.1602767401999007,-0.10128451368804998,-0.16902140531889298,1:1,HILUIT002,2.881497128056483,-1.2927959791661632
