"is_cluster","pocket_name","pocket_alias","ward_id","ward_councillor","avg_hhsize","area_ha","density_dwellings","structure_count","age_of_is","upgrade_category","temp_sanitation","toilets_full_flush","toilets_chemical","toilets_portable","toilets_container","toilets_other","toilets_total","ratio_toilets_dwellings","pocket_code","centroidx","centroidy"
"Wallacedene Infills","Swelleni Street","None","19100006","Simpiwe Nonkeyizana","3.720000000","0.062000000","129.032258065","8","15 - 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"NORWAL002","18.732033000","-33.866148000"
"Wallacedene Infills","Wallacedene 2","None","19100006","Brenda Hansen","3.850000000","0.139000000","71.942446043","10","15 - 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"NORWAL006","18.728109000","-33.858191000"
"Wallacedene Infills","William & Dorris Street","None","19100006","Simpiwe Nonkeyizana","3.720000000","0.345000000","23.188405797","8","15 - 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"NORWAL003","18.733089000","-33.861597000"
"Wallacedene TRA","Wallacedene TRA","None","19100111","Brenda Hansen","3.850000000","7.031000000","154.601052482","1087","> 20 years","City land. Can be upgraded","0E-9","176.000000000","0E-9","0E-9","0E-9","0E-9","176.000000000","1:6","NORWAL007","18.740039000","-33.860587000"
"Waterfront","Waterfront","None","19100042","Coetzee Ntotoviyane","3.060000000","2.121000000","197.076850542","418","15 - 20 years","Provincial or National government land.  Some constraints","0E-9","38.000000000","0E-9","0E-9","0E-9","0E-9","38.000000000","1:11","HILWAT001","18.561748000","-33.997881000"
"WB Section","WB Section","Victoria Mxenge 6155","19100090","Luvuyo Hebe","3.060000000","1.340000000","229.850746269","308","> 20 years","Provincial or National government land.  Some constraints","0E-9","83.000000000","0E-9","0E-9","0E-9","0E-9","83.000000000","1:4","KHAWBS001","18.655067000","-34.021708000"
"Weltevreden Road","Weltevreden Road","None","19100075","Thembinkosi Pupa","2.910000000","0.025000000","120.000000000","3","0 - 5 years","Many constraints.  May need to be relocated","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"HILWEL001","18.573108000","-34.026174000"
"Wingfield Camp","Wingfield Camp","None","19100056","Lisa McBride","3.900000000","0.331000000","33.232628399","11","5 - 10 years","Many constraints.  May need to be relocated","100.000000000","0E-9","2.000000000","0E-9","1.000000000","0E-9","3.000000000","1:4","EBEWIN001","18.535339000","-33.913872000"
"Witsand","Witsand","None","19100032","Barbara Rass","3.950000000","30.416000000","65.656233561","1997","15 - 20 years","City land. Can be upgraded","0E-9","174.000000000","0E-9","0E-9","0E-9","0E-9","174.000000000","1:11","NORWIT001","18.504555000","-33.588555000"
"Wolverivier Pockets","Blouberg Sands","Happy Valley - Blouberg / Radar Road","19100023","Nora Grose","2.530000000","1.188000000","15.151515152","18","5 - 10 years","Many constraints.  May need to be relocated","100.000000000","0E-9","0E-9","0E-9","0E-9","14.000000000","14.000000000","1:1","NORBLO001","18.475929000","-33.794856000"
"Wolweriver Pockets","Rooidakkies","None","19100104","Lubabalo Makeleni","2.570000000","0.464000000","38.793103448","18","10 - 15 years","Many constraints.  May need to be relocated","100.000000000","0E-9","4.000000000","9.000000000","0E-9","0E-9","13.000000000","1:1","NORROO001","18.546347000","-33.774886000"
"Wolweriver Pockets","Skandaalkamp","Tafelozono","19100104","Lubabalo Makeleni","2.570000000","12.155000000","24.023035788","292","15 - 20 years","Many constraints.  May need to be relocated","100.000000000","0E-9","50.000000000","39.000000000","0E-9","22.000000000","111.000000000","1:3","NORSKA001","18.541591000","-33.767090000"
"Wolweriver Pockets","Spoorkamp","None","19100023","Nora Grose","2.530000000","2.904000000","4.132231405","12","15 - 20 years","Many constraints.  May need to be relocated","100.000000000","0E-9","0E-9","0E-9","0E-9","11.000000000","11.000000000","1:1","NORSPO001","18.524367000","-33.773820000"
"Wolweriver Pockets","Table View Tipsite","Takkegat","19100023","Nora Grose","2.530000000","0.939000000","34.078807242","32","15 - 20 years","Provincial or National government land.  Some constraints","100.000000000","0E-9","0E-9","23.000000000","0E-9","6.000000000","29.000000000","1:1","NORTAB001","18.510183000","-33.786613000"
"Wolweriver Pockets","Wolweriver","None","19100104","Lubabalo Makeleni","2.570000000","7.889000000","5.323868678","42","15 - 20 years","Provincial or National government land.  Some constraints","100.000000000","0E-9","18.000000000","30.000000000","0E-9","6.000000000","54.000000000","1:1","NORWOL001","18.517303000","-33.734345000"
"YAB Section","YAB Section 1","Victoria Mxenge 8645","19100091","Monde Mabandla","3.410000000","1.340000000","202.985074627","272","> 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"KHAYAB003","18.662064000","-34.029229000"
"YAB Section","YAB Section 3","Victoria Mxenge 8317","19100091","Monde Mabandla","3.410000000","0.973000000","27.749229188","27","15 - 20 years","City land. Can be upgraded","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"KHAYAB002","18.663659000","-34.029142000"
"Zille Rain","Zille Rain","Zille Rains Heights","19100110","Shanen Rossouw","4.550000000","0.801000000","66.167290886","53","5 - 10 years","City land. Can be upgraded","100.000000000","0E-9","16.000000000","0E-9","0E-9","0E-9","16.000000000","1:3","HILZIL001","18.499941000","-34.034671000"
"Zola Section","Zola Section","None","19100097","Mthwalo Mkutswana","3.730000000","0.092000000","260.869565217","24","10 - 15 years","Provincial or National government land.  Some constraints","95.979899497","8.000000000","0E-9","191.000000000","0E-9","0E-9","199.000000000","1:0","KHAZOL001","18.680415000","-34.039633000"
